unitid,university_name,level_of_study,headcount,year
187198,Union County College,Undergraduate,10974,2022
187198,Union County College,Graduate,10974,2022
187198,Union County College,Undergraduate,10973,2023
187198,Union County College,Graduate,10973,2023
187444,William Paterson University of New Jersey,Undergraduate,10198,2018
187444,William Paterson University of New Jersey,Graduate,8735,2018
187444,William Paterson University of New Jersey,Undergraduate,10105,2019
187444,William Paterson University of New Jersey,Graduate,8605,2019
187444,William Paterson University of New Jersey,Undergraduate,12020,2020
187444,William Paterson University of New Jersey,Graduate,10049,2020
187444,William Paterson University of New Jersey,Undergraduate,11681,2021
187444,William Paterson University of New Jersey,Graduate,9297,2021
187444,William Paterson University of New Jersey,Undergraduate,11619,2022
187444,William Paterson University of New Jersey,Graduate,8742,2022
187444,William Paterson University of New Jersey,Undergraduate,11340,2023
187444,William Paterson University of New Jersey,Graduate,8043,2023
194718,Rabbinical Seminary Mkor Chaim,Undergraduate,20,2020
194718,Rabbinical Seminary Mkor Chaim,Graduate,20,2020
194718,Rabbinical Seminary Mkor Chaim,Undergraduate,34,2021
194718,Rabbinical Seminary Mkor Chaim,Graduate,34,2021
194718,Rabbinical Seminary Mkor Chaim,Undergraduate,72,2022
194718,Rabbinical Seminary Mkor Chaim,Graduate,72,2022
194718,Rabbinical Seminary Mkor Chaim,Undergraduate,85,2023
194718,Rabbinical Seminary Mkor Chaim,Graduate,85,2023
245625,Warren County Community College,Undergraduate,3496,2018
245625,Warren County Community College,Graduate,3496,2018
245625,Warren County Community College,Undergraduate,3243,2019
245625,Warren County Community College,Graduate,3243,2019
245625,Warren County Community College,Undergraduate,3584,2020
245625,Warren County Community College,Graduate,3584,2020
245625,Warren County Community College,Undergraduate,3692,2021
245625,Warren County Community College,Graduate,3692,2021
245625,Warren County Community College,Undergraduate,3393,2022
245625,Warren County Community College,Graduate,3393,2022
245625,Warren County Community College,Undergraduate,3340,2023
245625,Warren County Community College,Graduate,3340,2023
247603,Sussex County Community College,Undergraduate,2300,2018
247603,Sussex County Community College,Graduate,2300,2018
247603,Sussex County Community College,Undergraduate,2318,2019
247603,Sussex County Community College,Graduate,2318,2019
247603,Sussex County Community College,Undergraduate,3508,2020
247603,Sussex County Community College,Graduate,3508,2020
247603,Sussex County Community College,Undergraduate,3277,2021
247603,Sussex County Community College,Graduate,3277,2021
247603,Sussex County Community College,Undergraduate,3041,2022
247603,Sussex County Community College,Graduate,3041,2022
247603,Sussex County Community College,Undergraduate,3272,2023
247603,Sussex County Community College,Graduate,3272,2023
249140,Branford Hall Career Institute-Jersey City,Undergraduate,195,2018
249140,Branford Hall Career Institute-Jersey City,Graduate,195,2018
249140,Branford Hall Career Institute-Jersey City,Undergraduate,208,2019
249140,Branford Hall Career Institute-Jersey City,Graduate,208,2019
363077,Capri Institute of Hair Design-Clifton,Undergraduate,155,2018
363077,Capri Institute of Hair Design-Clifton,Graduate,155,2018
363077,Capri Institute of Hair Design-Clifton,Undergraduate,130,2019
363077,Capri Institute of Hair Design-Clifton,Graduate,130,2019
363077,Capri Institute of Hair Design-Clifton,Undergraduate,150,2020
363077,Capri Institute of Hair Design-Clifton,Graduate,150,2020
363077,Capri Institute of Hair Design-Clifton,Undergraduate,203,2021
363077,Capri Institute of Hair Design-Clifton,Graduate,203,2021
363077,Capri Institute of Hair Design-Clifton,Undergraduate,124,2022
363077,Capri Institute of Hair Design-Clifton,Graduate,124,2022
365763,Morris County Vocational School District,Undergraduate,37,2018
365763,Morris County Vocational School District,Graduate,37,2018
365763,Morris County Vocational School District,Undergraduate,42,2019
365763,Morris County Vocational School District,Graduate,42,2019
365763,Morris County Vocational School District,Undergraduate,60,2020
365763,Morris County Vocational School District,Graduate,60,2020
365763,Morris County Vocational School District,Undergraduate,61,2021
365763,Morris County Vocational School District,Graduate,61,2021
365763,Morris County Vocational School District,Undergraduate,68,2022
365763,Morris County Vocational School District,Graduate,68,2022
365763,Morris County Vocational School District,Undergraduate,61,2023
365763,Morris County Vocational School District,Graduate,61,2023
368230,Empire Beauty School-Bloomfield,Undergraduate,112,2018
368230,Empire Beauty School-Bloomfield,Graduate,112,2018
368230,Empire Beauty School-Bloomfield,Undergraduate,94,2019
368230,Empire Beauty School-Bloomfield,Graduate,94,2019
368230,Empire Beauty School-Bloomfield,Undergraduate,147,2020
368230,Empire Beauty School-Bloomfield,Graduate,147,2020
368230,Empire Beauty School-Bloomfield,Undergraduate,166,2021
368230,Empire Beauty School-Bloomfield,Graduate,166,2021
368230,Empire Beauty School-Bloomfield,Undergraduate,170,2022
368230,Empire Beauty School-Bloomfield,Graduate,170,2022
368230,Empire Beauty School-Bloomfield,Undergraduate,182,2023
368230,Empire Beauty School-Bloomfield,Graduate,182,2023
374574,Lincoln Technical Institute-Moorestown,Undergraduate,579,2018
374574,Lincoln Technical Institute-Moorestown,Graduate,579,2018
374574,Lincoln Technical Institute-Moorestown,Undergraduate,648,2019
374574,Lincoln Technical Institute-Moorestown,Graduate,648,2019
374574,Lincoln Technical Institute-Moorestown,Undergraduate,1002,2020
374574,Lincoln Technical Institute-Moorestown,Graduate,1002,2020
374574,Lincoln Technical Institute-Moorestown,Undergraduate,1163,2021
374574,Lincoln Technical Institute-Moorestown,Graduate,1163,2021
374574,Lincoln Technical Institute-Moorestown,Undergraduate,1227,2022
374574,Lincoln Technical Institute-Moorestown,Graduate,1227,2022
374574,Lincoln Technical Institute-Moorestown,Undergraduate,1222,2023
374574,Lincoln Technical Institute-Moorestown,Graduate,1222,2023
374592,MCVSD,Undergraduate,54,2018
374592,MCVSD,Graduate,54,2018
374592,MCVSD,Undergraduate,52,2019
374592,MCVSD,Graduate,52,2019
374592,MCVSD,Undergraduate,74,2020
374592,MCVSD,Graduate,74,2020
374592,MCVSD,Undergraduate,86,2021
374592,MCVSD,Graduate,86,2021
374592,MCVSD,Undergraduate,76,2022
374592,MCVSD,Graduate,76,2022
374592,MCVSD,Undergraduate,72,2023
374592,MCVSD,Graduate,72,2023
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,64,2018
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,64,2018
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,135,2019
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,135,2019
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,213,2020
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,213,2020
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,196,2021
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,196,2021
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,156,2022
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,156,2022
383279,Robert Fiance Beauty Schools-North Plainfield,Undergraduate,287,2023
383279,Robert Fiance Beauty Schools-North Plainfield,Graduate,287,2023
384421,Rabbi Jacob Joseph School,Undergraduate,57,2018
384421,Rabbi Jacob Joseph School,Graduate,57,2018
384421,Rabbi Jacob Joseph School,Undergraduate,73,2019
384421,Rabbi Jacob Joseph School,Graduate,73,2019
384421,Rabbi Jacob Joseph School,Undergraduate,84,2020
384421,Rabbi Jacob Joseph School,Graduate,84,2020
384421,Rabbi Jacob Joseph School,Undergraduate,92,2021
384421,Rabbi Jacob Joseph School,Graduate,92,2021
384421,Rabbi Jacob Joseph School,Undergraduate,106,2022
384421,Rabbi Jacob Joseph School,Graduate,106,2022
384421,Rabbi Jacob Joseph School,Undergraduate,104,2023
384421,Rabbi Jacob Joseph School,Graduate,104,2023
407391,Capri Institute of Hair Design-Brick,Undergraduate,128,2018
407391,Capri Institute of Hair Design-Brick,Graduate,128,2018
407391,Capri Institute of Hair Design-Brick,Undergraduate,103,2019
407391,Capri Institute of Hair Design-Brick,Graduate,103,2019
407391,Capri Institute of Hair Design-Brick,Undergraduate,130,2020
407391,Capri Institute of Hair Design-Brick,Graduate,130,2020
407391,Capri Institute of Hair Design-Brick,Undergraduate,182,2021
407391,Capri Institute of Hair Design-Brick,Graduate,182,2021
407391,Capri Institute of Hair Design-Brick,Undergraduate,122,2022
407391,Capri Institute of Hair Design-Brick,Graduate,122,2022
407407,Capri Institute of Hair Design-Kenilworth,Undergraduate,107,2018
407407,Capri Institute of Hair Design-Kenilworth,Graduate,107,2018
407407,Capri Institute of Hair Design-Kenilworth,Undergraduate,107,2019
407407,Capri Institute of Hair Design-Kenilworth,Graduate,107,2019
407407,Capri Institute of Hair Design-Kenilworth,Undergraduate,91,2020
407407,Capri Institute of Hair Design-Kenilworth,Graduate,91,2020
407407,Capri Institute of Hair Design-Kenilworth,Undergraduate,123,2021
407407,Capri Institute of Hair Design-Kenilworth,Graduate,123,2021
407407,Capri Institute of Hair Design-Kenilworth,Undergraduate,75,2022
407407,Capri Institute of Hair Design-Kenilworth,Graduate,75,2022
407425,Capri Institute of Hair Design-Paramus,Undergraduate,97,2018
407425,Capri Institute of Hair Design-Paramus,Graduate,97,2018
407425,Capri Institute of Hair Design-Paramus,Undergraduate,93,2019
407425,Capri Institute of Hair Design-Paramus,Graduate,93,2019
407425,Capri Institute of Hair Design-Paramus,Undergraduate,117,2020
407425,Capri Institute of Hair Design-Paramus,Graduate,117,2020
407425,Capri Institute of Hair Design-Paramus,Undergraduate,109,2021
407425,Capri Institute of Hair Design-Paramus,Graduate,109,2021
407425,Capri Institute of Hair Design-Paramus,Undergraduate,65,2022
407425,Capri Institute of Hair Design-Paramus,Graduate,65,2022
414063,Artistic Academy of Hair Design,Undergraduate,137,2018
414063,Artistic Academy of Hair Design,Graduate,137,2018
414063,Artistic Academy of Hair Design,Undergraduate,125,2019
414063,Artistic Academy of Hair Design,Graduate,125,2019
414063,Artistic Academy of Hair Design,Undergraduate,194,2020
414063,Artistic Academy of Hair Design,Graduate,194,2020
414063,Artistic Academy of Hair Design,Undergraduate,174,2021
414063,Artistic Academy of Hair Design,Graduate,174,2021
414063,Artistic Academy of Hair Design,Undergraduate,196,2022
414063,Artistic Academy of Hair Design,Graduate,196,2022
414063,Artistic Academy of Hair Design,Undergraduate,170,2023
414063,Artistic Academy of Hair Design,Graduate,170,2023
417831,Union County Vocational Technical School,Undergraduate,96,2018
417831,Union County Vocational Technical School,Graduate,96,2018
417831,Union County Vocational Technical School,Undergraduate,105,2019
417831,Union County Vocational Technical School,Graduate,105,2019
417831,Union County Vocational Technical School,Undergraduate,141,2020
417831,Union County Vocational Technical School,Graduate,141,2020
417831,Union County Vocational Technical School,Undergraduate,152,2021
417831,Union County Vocational Technical School,Graduate,152,2021
417831,Union County Vocational Technical School,Undergraduate,131,2022
417831,Union County Vocational Technical School,Graduate,131,2022
417831,Union County Vocational Technical School,Undergraduate,123,2023
417831,Union County Vocational Technical School,Graduate,123,2023
420130,Prism Career Institute-Cherry Hill,Undergraduate,61,2018
420130,Prism Career Institute-Cherry Hill,Graduate,61,2018
420130,Prism Career Institute-Cherry Hill,Undergraduate,266,2019
420130,Prism Career Institute-Cherry Hill,Graduate,266,2019
420130,Prism Career Institute-Cherry Hill,Undergraduate,280,2020
420130,Prism Career Institute-Cherry Hill,Graduate,280,2020
420130,Prism Career Institute-Cherry Hill,Undergraduate,462,2021
420130,Prism Career Institute-Cherry Hill,Graduate,462,2021
420130,Prism Career Institute-Cherry Hill,Undergraduate,315,2022
420130,Prism Career Institute-Cherry Hill,Graduate,315,2022
420130,Prism Career Institute-Cherry Hill,Undergraduate,297,2023
420130,Prism Career Institute-Cherry Hill,Graduate,297,2023
420343,Lincoln Technical Institute-Mahwah,Undergraduate,857,2018
420343,Lincoln Technical Institute-Mahwah,Graduate,857,2018
420343,Lincoln Technical Institute-Mahwah,Undergraduate,847,2019
420343,Lincoln Technical Institute-Mahwah,Graduate,847,2019
420343,Lincoln Technical Institute-Mahwah,Undergraduate,1133,2020
420343,Lincoln Technical Institute-Mahwah,Graduate,1133,2020
420343,Lincoln Technical Institute-Mahwah,Undergraduate,1335,2021
420343,Lincoln Technical Institute-Mahwah,Graduate,1335,2021
420343,Lincoln Technical Institute-Mahwah,Undergraduate,1371,2022
420343,Lincoln Technical Institute-Mahwah,Graduate,1371,2022
420343,Lincoln Technical Institute-Mahwah,Undergraduate,1374,2023
420343,Lincoln Technical Institute-Mahwah,Graduate,1374,2023
421878,Eastern International College-Jersey City,Undergraduate,295,2018
421878,Eastern International College-Jersey City,Graduate,295,2018
421878,Eastern International College-Jersey City,Undergraduate,336,2019
421878,Eastern International College-Jersey City,Graduate,336,2019
421878,Eastern International College-Jersey City,Undergraduate,478,2020
421878,Eastern International College-Jersey City,Graduate,478,2020
421878,Eastern International College-Jersey City,Undergraduate,505,2021
421878,Eastern International College-Jersey City,Graduate,505,2021
421878,Eastern International College-Jersey City,Undergraduate,542,2022
421878,Eastern International College-Jersey City,Graduate,542,2022
421878,Eastern International College-Jersey City,Undergraduate,681,2023
421878,Eastern International College-Jersey City,Graduate,681,2023
430218,Empire Beauty School-Bordentown,Undergraduate,75,2018
430218,Empire Beauty School-Bordentown,Graduate,75,2018
430218,Empire Beauty School-Bordentown,Undergraduate,64,2019
430218,Empire Beauty School-Bordentown,Graduate,64,2019
430218,Empire Beauty School-Bordentown,Undergraduate,91,2020
430218,Empire Beauty School-Bordentown,Graduate,91,2020
430403,Prism Career Institute-West Atlantic City,Undergraduate,56,2018
430403,Prism Career Institute-West Atlantic City,Graduate,56,2018
430403,Prism Career Institute-West Atlantic City,Undergraduate,64,2019
430403,Prism Career Institute-West Atlantic City,Graduate,64,2019
430403,Prism Career Institute-West Atlantic City,Undergraduate,236,2020
430403,Prism Career Institute-West Atlantic City,Graduate,236,2020
430403,Prism Career Institute-West Atlantic City,Undergraduate,306,2021
430403,Prism Career Institute-West Atlantic City,Graduate,306,2021
430403,Prism Career Institute-West Atlantic City,Undergraduate,365,2022
430403,Prism Career Institute-West Atlantic City,Graduate,365,2022
430403,Prism Career Institute-West Atlantic City,Undergraduate,270,2023
430403,Prism Career Institute-West Atlantic City,Graduate,270,2023
431716,Ocean County Vocational-Technical School,Undergraduate,369,2018
431716,Ocean County Vocational-Technical School,Graduate,369,2018
431716,Ocean County Vocational-Technical School,Undergraduate,364,2019
431716,Ocean County Vocational-Technical School,Graduate,364,2019
431716,Ocean County Vocational-Technical School,Undergraduate,368,2020
431716,Ocean County Vocational-Technical School,Graduate,368,2020
431716,Ocean County Vocational-Technical School,Undergraduate,349,2021
431716,Ocean County Vocational-Technical School,Graduate,349,2021
431716,Ocean County Vocational-Technical School,Undergraduate,456,2022
431716,Ocean County Vocational-Technical School,Graduate,456,2022
431716,Ocean County Vocational-Technical School,Undergraduate,467,2023
431716,Ocean County Vocational-Technical School,Graduate,467,2023
436003,Central Career Institute LLC,Undergraduate,44,2018
436003,Central Career Institute LLC,Graduate,44,2018
436003,Central Career Institute LLC,Undergraduate,294,2020
436003,Central Career Institute LLC,Graduate,294,2020
436003,Central Career Institute LLC,Undergraduate,70,2021
436003,Central Career Institute LLC,Graduate,70,2021
437723,New Community Career & Technical Institute,Undergraduate,97,2018
437723,New Community Career & Technical Institute,Graduate,97,2018
437723,New Community Career & Technical Institute,Undergraduate,78,2019
437723,New Community Career & Technical Institute,Graduate,78,2019
437723,New Community Career & Technical Institute,Undergraduate,100,2020
437723,New Community Career & Technical Institute,Graduate,100,2020
437723,New Community Career & Technical Institute,Undergraduate,139,2021
437723,New Community Career & Technical Institute,Graduate,139,2021
437723,New Community Career & Technical Institute,Undergraduate,83,2022
437723,New Community Career & Technical Institute,Graduate,83,2022
437723,New Community Career & Technical Institute,Undergraduate,104,2023
437723,New Community Career & Technical Institute,Graduate,104,2023
440794,Pillar College,Undergraduate,584,2018
440794,Pillar College,Graduate,505,2018
440794,Pillar College,Undergraduate,604,2019
440794,Pillar College,Graduate,494,2019
440794,Pillar College,Undergraduate,744,2020
440794,Pillar College,Graduate,583,2020
440794,Pillar College,Undergraduate,685,2021
440794,Pillar College,Graduate,539,2021
440794,Pillar College,Undergraduate,668,2022
440794,Pillar College,Graduate,531,2022
440794,Pillar College,Undergraduate,723,2023
440794,Pillar College,Graduate,615,2023
441548,Institute for Therapeutic Massage,Undergraduate,77,2018
441548,Institute for Therapeutic Massage,Graduate,77,2018
441548,Institute for Therapeutic Massage,Undergraduate,92,2019
441548,Institute for Therapeutic Massage,Graduate,92,2019
441548,Institute for Therapeutic Massage,Undergraduate,115,2020
441548,Institute for Therapeutic Massage,Graduate,115,2020
441548,Institute for Therapeutic Massage,Undergraduate,82,2021
441548,Institute for Therapeutic Massage,Graduate,82,2021
442073,Lincoln Technical Institute-Paramus,Undergraduate,489,2018
442073,Lincoln Technical Institute-Paramus,Graduate,489,2018
442073,Lincoln Technical Institute-Paramus,Undergraduate,561,2019
442073,Lincoln Technical Institute-Paramus,Graduate,561,2019
442073,Lincoln Technical Institute-Paramus,Undergraduate,875,2020
442073,Lincoln Technical Institute-Paramus,Graduate,875,2020
442073,Lincoln Technical Institute-Paramus,Undergraduate,1093,2021
442073,Lincoln Technical Institute-Paramus,Graduate,1093,2021
442073,Lincoln Technical Institute-Paramus,Undergraduate,1090,2022
442073,Lincoln Technical Institute-Paramus,Graduate,1090,2022
442073,Lincoln Technical Institute-Paramus,Undergraduate,1088,2023
442073,Lincoln Technical Institute-Paramus,Graduate,1088,2023
443216,P C Age-Jersey City,Undergraduate,227,2018
443216,P C Age-Jersey City,Graduate,227,2018
443216,P C Age-Jersey City,Undergraduate,217,2019
443216,P C Age-Jersey City,Graduate,217,2019
443216,P C Age-Jersey City,Undergraduate,335,2020
443216,P C Age-Jersey City,Graduate,335,2020
443216,P C Age-Jersey City,Undergraduate,306,2021
443216,P C Age-Jersey City,Graduate,306,2021
443216,P C Age-Jersey City,Undergraduate,231,2022
443216,P C Age-Jersey City,Graduate,231,2022
443216,P C Age-Jersey City,Undergraduate,249,2023
443216,P C Age-Jersey City,Graduate,249,2023
443225,PC AGE-Metropark,Undergraduate,142,2018
443225,PC AGE-Metropark,Graduate,142,2018
443225,PC AGE-Metropark,Undergraduate,89,2019
443225,PC AGE-Metropark,Graduate,89,2019
443225,PC AGE-Metropark,Undergraduate,150,2020
443225,PC AGE-Metropark,Graduate,150,2020
443225,PC AGE-Metropark,Undergraduate,132,2021
443225,PC AGE-Metropark,Graduate,132,2021
443225,PC AGE-Metropark,Undergraduate,105,2022
443225,PC AGE-Metropark,Graduate,105,2022
443225,PC AGE-Metropark,Undergraduate,92,2023
443225,PC AGE-Metropark,Graduate,92,2023
445300,University of Phoenix-New Jersey,Undergraduate,47,2018
445300,University of Phoenix-New Jersey,Graduate,47,2018
445300,University of Phoenix-New Jersey,Undergraduate,26,2019
445300,University of Phoenix-New Jersey,Graduate,26,2019
445300,University of Phoenix-New Jersey,Undergraduate,32,2020
445300,University of Phoenix-New Jersey,Graduate,32,2020
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,60,2018
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,4,2018
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,77,2019
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,9,2019
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,105,2020
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,13,2020
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,86,2021
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,11,2021
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,103,2022
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,22,2022
446224,Eastern School of Acupuncture and Traditional Medicine,Undergraduate,62,2023
446224,Eastern School of Acupuncture and Traditional Medicine,Graduate,13,2023
446303,Healthcare Training Institute,Undergraduate,45,2018
446303,Healthcare Training Institute,Graduate,45,2018
446303,Healthcare Training Institute,Undergraduate,40,2019
446303,Healthcare Training Institute,Graduate,40,2019
446303,Healthcare Training Institute,Undergraduate,78,2020
446303,Healthcare Training Institute,Graduate,78,2020
446303,Healthcare Training Institute,Undergraduate,120,2021
446303,Healthcare Training Institute,Graduate,120,2021
446303,Healthcare Training Institute,Undergraduate,103,2022
446303,Healthcare Training Institute,Graduate,103,2022
446303,Healthcare Training Institute,Undergraduate,126,2023
446303,Healthcare Training Institute,Graduate,126,2023
448354,Eastern International College-Belleville,Undergraduate,257,2018
448354,Eastern International College-Belleville,Graduate,257,2018
448354,Eastern International College-Belleville,Undergraduate,264,2019
448354,Eastern International College-Belleville,Graduate,264,2019
448354,Eastern International College-Belleville,Undergraduate,356,2020
448354,Eastern International College-Belleville,Graduate,356,2020
448354,Eastern International College-Belleville,Undergraduate,356,2021
448354,Eastern International College-Belleville,Graduate,356,2021
448983,Harris School of Business-Linwood Campus,Undergraduate,108,2018
448983,Harris School of Business-Linwood Campus,Graduate,108,2018
448983,Harris School of Business-Linwood Campus,Undergraduate,36,2019
448983,Harris School of Business-Linwood Campus,Graduate,36,2019
449658,Bais Medrash Toras Chesed,Undergraduate,106,2018
449658,Bais Medrash Toras Chesed,Graduate,106,2018
449658,Bais Medrash Toras Chesed,Undergraduate,112,2019
449658,Bais Medrash Toras Chesed,Graduate,112,2019
449658,Bais Medrash Toras Chesed,Undergraduate,127,2020
449658,Bais Medrash Toras Chesed,Graduate,127,2020
449658,Bais Medrash Toras Chesed,Undergraduate,145,2021
449658,Bais Medrash Toras Chesed,Graduate,145,2021
449658,Bais Medrash Toras Chesed,Undergraduate,127,2022
449658,Bais Medrash Toras Chesed,Graduate,127,2022
449658,Bais Medrash Toras Chesed,Undergraduate,120,2023
449658,Bais Medrash Toras Chesed,Graduate,120,2023
451370,Yeshivas Be'er Yitzchok,Undergraduate,61,2018
451370,Yeshivas Be'er Yitzchok,Graduate,61,2018
451370,Yeshivas Be'er Yitzchok,Undergraduate,62,2019
451370,Yeshivas Be'er Yitzchok,Graduate,62,2019
451370,Yeshivas Be'er Yitzchok,Undergraduate,80,2020
451370,Yeshivas Be'er Yitzchok,Graduate,80,2020
451370,Yeshivas Be'er Yitzchok,Undergraduate,104,2021
451370,Yeshivas Be'er Yitzchok,Graduate,104,2021
451370,Yeshivas Be'er Yitzchok,Undergraduate,116,2022
451370,Yeshivas Be'er Yitzchok,Graduate,116,2022
451370,Yeshivas Be'er Yitzchok,Undergraduate,85,2023
451370,Yeshivas Be'er Yitzchok,Graduate,85,2023
451398,Yeshiva Toras Chaim,Undergraduate,240,2018
451398,Yeshiva Toras Chaim,Graduate,240,2018
451398,Yeshiva Toras Chaim,Undergraduate,236,2019
451398,Yeshiva Toras Chaim,Graduate,236,2019
451398,Yeshiva Toras Chaim,Undergraduate,253,2020
451398,Yeshiva Toras Chaim,Graduate,253,2020
451398,Yeshiva Toras Chaim,Undergraduate,244,2021
451398,Yeshiva Toras Chaim,Graduate,244,2021
451398,Yeshiva Toras Chaim,Undergraduate,247,2022
451398,Yeshiva Toras Chaim,Graduate,247,2022
451398,Yeshiva Toras Chaim,Undergraduate,226,2023
451398,Yeshiva Toras Chaim,Graduate,226,2023
453215,Strayer University-New Jersey,Undergraduate,960,2018
453215,Strayer University-New Jersey,Graduate,851,2018
453215,Strayer University-New Jersey,Undergraduate,973,2019
453215,Strayer University-New Jersey,Graduate,864,2019
453215,Strayer University-New Jersey,Undergraduate,1507,2020
453215,Strayer University-New Jersey,Graduate,1348,2020
453215,Strayer University-New Jersey,Undergraduate,1378,2021
453215,Strayer University-New Jersey,Graduate,1247,2021
453215,Strayer University-New Jersey,Undergraduate,879,2022
453215,Strayer University-New Jersey,Graduate,793,2022
453215,Strayer University-New Jersey,Undergraduate,877,2023
453215,Strayer University-New Jersey,Graduate,789,2023
455187,Total Image Beauty Academy,Undergraduate,199,2018
455187,Total Image Beauty Academy,Graduate,199,2018
455187,Total Image Beauty Academy,Undergraduate,36,2019
455187,Total Image Beauty Academy,Graduate,36,2019
455187,Total Image Beauty Academy,Undergraduate,212,2020
455187,Total Image Beauty Academy,Graduate,212,2020
455187,Total Image Beauty Academy,Undergraduate,502,2021
455187,Total Image Beauty Academy,Graduate,502,2021
455187,Total Image Beauty Academy,Undergraduate,701,2022
455187,Total Image Beauty Academy,Graduate,701,2022
455187,Total Image Beauty Academy,Undergraduate,402,2023
455187,Total Image Beauty Academy,Graduate,402,2023
455196,Jersey College,Undergraduate,3179,2018
455196,Jersey College,Graduate,3179,2018
455196,Jersey College,Undergraduate,3444,2019
455196,Jersey College,Graduate,3444,2019
455196,Jersey College,Undergraduate,4999,2020
455196,Jersey College,Graduate,4999,2020
455196,Jersey College,Undergraduate,5023,2021
455196,Jersey College,Graduate,5023,2021
455196,Jersey College,Undergraduate,4751,2022
455196,Jersey College,Graduate,4751,2022
455196,Jersey College,Undergraduate,5260,2023
455196,Jersey College,Graduate,5260,2023
455202,American Institute of Medical Sciences & Education,Undergraduate,425,2018
455202,American Institute of Medical Sciences & Education,Graduate,425,2018
455202,American Institute of Medical Sciences & Education,Undergraduate,406,2019
455202,American Institute of Medical Sciences & Education,Graduate,406,2019
455202,American Institute of Medical Sciences & Education,Undergraduate,623,2020
455202,American Institute of Medical Sciences & Education,Graduate,623,2020
455202,American Institute of Medical Sciences & Education,Undergraduate,715,2021
455202,American Institute of Medical Sciences & Education,Graduate,715,2021
455202,American Institute of Medical Sciences & Education,Undergraduate,655,2022
455202,American Institute of Medical Sciences & Education,Graduate,655,2022
455202,American Institute of Medical Sciences & Education,Undergraduate,614,2023
455202,American Institute of Medical Sciences & Education,Graduate,614,2023
457767,National Career Institute,Undergraduate,231,2018
457767,National Career Institute,Graduate,231,2018
457767,National Career Institute,Undergraduate,210,2019
457767,National Career Institute,Graduate,210,2019
457767,National Career Institute,Undergraduate,300,2020
457767,National Career Institute,Graduate,300,2020
457767,National Career Institute,Undergraduate,307,2021
457767,National Career Institute,Graduate,307,2021
457767,National Career Institute,Undergraduate,260,2022
457767,National Career Institute,Graduate,260,2022
457767,National Career Institute,Undergraduate,264,2023
457767,National Career Institute,Graduate,264,2023
458849,Empire Beauty School-Paramus,Undergraduate,74,2018
458849,Empire Beauty School-Paramus,Graduate,74,2018
458849,Empire Beauty School-Paramus,Undergraduate,56,2019
458849,Empire Beauty School-Paramus,Graduate,56,2019
458849,Empire Beauty School-Paramus,Undergraduate,91,2020
458849,Empire Beauty School-Paramus,Graduate,91,2020
461847,Keser Torah-Mayan Hatalmud,Undergraduate,89,2019
461847,Keser Torah-Mayan Hatalmud,Graduate,89,2019
461847,Keser Torah-Mayan Hatalmud,Undergraduate,125,2020
461847,Keser Torah-Mayan Hatalmud,Graduate,125,2020
461847,Keser Torah-Mayan Hatalmud,Undergraduate,114,2021
461847,Keser Torah-Mayan Hatalmud,Graduate,114,2021
461847,Keser Torah-Mayan Hatalmud,Undergraduate,98,2022
461847,Keser Torah-Mayan Hatalmud,Graduate,98,2022
461847,Keser Torah-Mayan Hatalmud,Undergraduate,105,2023
461847,Keser Torah-Mayan Hatalmud,Graduate,105,2023
461865,Best Care College,Undergraduate,33,2018
461865,Best Care College,Graduate,33,2018
461865,Best Care College,Undergraduate,41,2019
461865,Best Care College,Graduate,41,2019
461865,Best Care College,Undergraduate,150,2020
461865,Best Care College,Graduate,150,2020
461865,Best Care College,Undergraduate,152,2021
461865,Best Care College,Graduate,152,2021
461865,Best Care College,Undergraduate,141,2022
461865,Best Care College,Graduate,141,2022
461865,Best Care College,Undergraduate,155,2023
461865,Best Care College,Graduate,155,2023
475024,Fortis Institute-Lawrenceville,Undergraduate,256,2018
475024,Fortis Institute-Lawrenceville,Graduate,256,2018
475024,Fortis Institute-Lawrenceville,Undergraduate,297,2019
475024,Fortis Institute-Lawrenceville,Graduate,297,2019
475024,Fortis Institute-Lawrenceville,Undergraduate,446,2020
475024,Fortis Institute-Lawrenceville,Graduate,446,2020
